;IDADEMAE;AC fri.;AL fri.;AP fri.;AM fri.;BA fri.;CE fri.;DF fri.;ES fri.;GO fri.;MA fri.;MT fri.;MS fri.;MG fri.;PA fri.;PB fri.;PR fri.;PE fri.;PI fri.;RN fri.;RS fri.;RJ fri.;RO fri.;RR fri.;SC fri.;SP fri.;SE fri.;TO fri.
0;8 a 11;0.0;0.0;0.0;1.4594705041011121e-05;7.505591665791014e-06;0.0;0.0;0.0;0.0;1.29582356066398e-05;1.8792400353297127e-05;0.0;0.0;9.737762067521643e-06;0.0;0.0;0.0;2.6761581074209864e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;11 a 14;0.00415740114086822;0.002687175685693106;0.0027520278099652374;0.004101112116524125;0.002011498566431992;0.0023664355911912913;0.0006456278084809669;0.0011952756224549745;0.0009188568339977028;0.0033302665509064287;0.0023490500441621406;0.001772466006634087;0.000638466200617184;0.0032231992443496637;0.0016401124648547328;0.000853296251817205;0.0019884840834817493;0.0022747343913078386;0.00195906432748538;0.0007514495290631644;0.001110072813250632;0.0019421011106390727;0.004831366719316176;0.0005950882332745875;0.0006383234975310129;0.0013719849524231025;0.002278010227801023
2;14 a 17;0.08208450159528183;0.05793643439584878;0.060617033603707994;0.07336758224116291;0.04350991488659051;0.04359809571535956;0.021718919477299727;0.03265736107453253;0.030200662117424497;0.06444130567181973;0.03999022795181629;0.03970323854860355;0.025682071591492668;0.06322728910441802;0.04247891283973758;0.027376588079135327;0.04354780142825031;0.05090052720314716;0.04175438596491228;0.02180057554202567;0.030762187282453952;0.03598956120653032;0.06169283656972963;0.018928383419926302;0.020882010518286562;0.04346094268643505;0.05165039516503952
3;17 a 20;0.16561925940249445;0.13764825796886582;0.14636442641946698;0.15749146209755102;0.10955912154555143;0.1072830535371252;0.0749186508961314;0.09126638439253662;0.09499358151476252;0.15492866491298546;0.1117959897017646;0.10989289241131339;0.08213543811273093;0.1513150847672188;0.11232427366447985;0.08440522090891853;0.11528020334411149;0.12136377017154173;0.10309941520467836;0.07423125859256918;0.09300779559608402;0.11865023972810584;0.1494936356034563;0.07185690416790644;0.07208639447589225;0.10073025005532198;0.12705718270571828
4;20 a 23;0.17596442038093396;0.17241938472942922;0.16323870220162226;0.17852243206164803;0.1475073930077908;0.15518249394470893;0.11900211765921181;0.1359980551447499;0.1438416323221404;0.1852250197613093;0.15537556612106065;0.15362216088927153;0.1333515311622398;0.1805088954456487;0.14088566073102154;0.13840781240123887;0.1557328860685076;0.15612706398694035;0.1465204678362573;0.1349108080644197;0.14893163331221895;0.16453237846695393;0.1818266282634953;0.132475795930512;0.12979244449797261;0.14396990484620492;0.1589028358902836
5;23 a 26;0.14821618485932514;0.16966271312083026;0.15896581691772885;0.16077527073177852;0.14863323175765947;0.16161363066900525;0.1347554361861474;0.14661372338485848;0.16297547463009257;0.1674074458021796;0.16732753274575762;0.15937001493935635;0.14699527627542877;0.17108274176428773;0.1524133083411434;0.15457303583844256;0.15932944858471806;0.16046244012096234;0.15649122807017543;0.14302304729862433;0.15803172174174815;0.17503186259634643;0.17597324166124687;0.15003089881211235;0.1470572885302501;0.1495906173932286;0.16582984658298466
6;26 a 29;0.13148989654839022;0.1387833580429948;0.13390787949015065;0.1362415715578388;0.145165648408064;0.15213396809488014;0.1481844946025515;0.1441218775956727;0.1602053915275995;0.1357375179795519;0.15411647529738973;0.1558504038690401;0.1507242890123668;0.14291139610294762;0.1453373945641987;0.1581995449086657;0.14336970241903413;0.1397757379505981;0.1536549707602339;0.1498202498569684;0.1515092600141738;0.15900952843357408;0.14884325931431758;0.15906021835160558;0.1496406921193143;0.14268643505200265;0.14704788470478847
7;29 a 32;0.10925263463211835;0.11529373610081542;0.11399188876013905;0.10607431623806883;0.12652926430190492;0.13004259584064146;0.14258044522493674;0.13871274893134256;0.14103101141814742;0.10991175441551879;0.133388457707703;0.13133973109158584;0.14280360687137683;0.10990038269404925;0.13125585754451735;0.14607167688515266;0.12855981878858092;0.1245216367382985;0.12792397660818713;0.14486751432450665;0.13104503634390935;0.1327304727802391;0.10712626591099136;0.1544139525302694;0.14232004496366776;0.12701925204691303;0.1279404927940493
8;32 a 35;0.07492990428309002;0.0907385100074129;0.09204808806488991;0.08081088181207857;0.1130116937118153;0.10941284556919736;0.13553018955632457;0.13135876501691618;0.11792446456320518;0.08580943618716876;0.10715426681450022;0.10918390600865976;0.13051081922616045;0.08207959646713993;0.11661199625117151;0.1252923329751596;0.10983348607196583;0.10790269489121418;0.12043859649122807;0.12941156378354837;0.11508381990479714;0.10208168962796625;0.07693022391526526;0.1328648920830377;0.13594283190814566;0.12126576676255808;0.099442119944212
9;35 a 38;0.05859035096200329;0.06446905114899926;0.0684385863267671;0.05611664088268776;0.08499332002341745;0.07514129012500348;0.11533495170703993;0.09580437997609449;0.08296736706979257;0.05500771015018595;0.07240711856125383;0.07743144354695769;0.09905941899575745;0.05459963191259385;0.08336457357075913;0.08936698059541116;0.07679006795428216;0.07728744614231808;0.08064327485380117;0.10668875472858155;0.08807204811569844;0.06463555258845664;0.05091517234971662;0.09808656244993248;0.1066963748042876;0.08917902190750165;0.06745699674569967
10;38 a 41;0.03731992652035193;0.03597572275759822;0.040918308227114716;0.031582941708748064;0.05563895101850879;0.04428018597399705;0.07556427870461237;0.05779866696379733;0.04638875751638403;0.02779541537624237;0.04029090635746904;0.0451725622262173;0.06225045456017544;0.02876534914745893;0.05084348641049672;0.05413690664306934;0.04576971625196687;0.04263119865121631;0.047456140350877196;0.06717788005840812;0.05716561408350005;0.03368331613764641;0.02917402211279383;0.05835297887436772;0.06618089847043238;0.05651692852400974;0.036587633658763365
11;41 a 44;0.009765058493667215;0.011814306893995553;0.015425840092699884;0.012420093989900464;0.019281864989417117;0.015729836576742113;0.025437735654150095;0.020623569214562102;0.015485440172961286;0.00851356079356235;0.01334260425084096;0.01433165371078419;0.021698597687641978;0.010643373939801155;0.018720712277413308;0.018006131091587132;0.01641796206318192;0.014049830063960178;0.016871345029239766;0.02285089704287532;0.020859334332607917;0.009953268192025248;0.011799684102945275;0.019534915657686936;0.023850816973784574;0.019694622704138083;0.012598791259879127
12;44 a 47;0.0022237261916271873;0.0023628613787991105;0.002969293163383546;0.002160016346069646;0.003640211957908642;0.0029093237562292937;0.005526574040597076;0.003646603593930431;0.00260793189649348;0.001619779450829975;0.002217503241689061;0.0019243916643455802;0.0036457345368575435;0.001528828644600898;0.003725398313027179;0.002954933316478099;0.0029222070444210055;0.0024620654588273076;0.002953216374269006;0.0037743260437036216;0.0038382178627648965;0.0014565758329793046;0.001114930781380656;0.003364537318898629;0.0042715484363081615;0.0038504093826067713;0.002696420269642027
13;47 a 50;0.00029005124238615487;0.00016215715344699777;0.00028968713789107763;0.0002918941008202224;0.00039779635828692374;0.00023664355911912915;0.0005681524714632509;0.00010129454427584531;0.0003648402134990879;0.000194373534099597;0.00015033920282637702;0.0003291722583749019;0.00040713786706023325;0.00015580419308034628;0.0003280224929709466;0.0003002338663801277;0.0002853042380647727;0.00018733106751946905;0.00023391812865497077;0.0005977439435729717;0.000489184629568075;0.00024276263882988408;0.000278732695345164;0.00026321210317914445;0.00047573166325424543;0.0006196061075459172;0.00041841004184100416
14;50 a 53;9.668374746205163e-05;4.633061527057079e-05;0.0;2.9189410082022242e-05;9.006709998949217e-05;1.3920209359948774e-05;0.00018077578637467072;0.00010129454427584531;6.756300249983109e-05;5.18329424265592e-05;7.516960141318851e-05;7.596282885574659e-05;7.402506673822424e-05;4.868881033760821e-05;7.029053420805998e-05;4.7405347323178055e-05;0.00014697491051821624;2.6761581074209864e-05;0.0;9.393119113289555e-05;6.898757596472853e-05;6.069065970747102e-05;0.0;0.00010299604037444783;0.00011240916937653057;4.425757911042266e-05;4.649000464900047e-05
15;53 a 56;0.0;0.0;7.242178447276941e-05;0.0;2.2516774997373042e-05;5.56808374397951e-05;5.165022467847735e-05;0.0;2.7025200999932437e-05;1.29582356066398e-05;0.0;0.0;2.313283335569507e-05;0.0;0.0;7.900891220529676e-06;2.5936748914979338e-05;0.0;0.0;0.0;2.5086391259901285e-05;0.0;0.0;6.866402691629855e-05;5.2189971496246335e-05;0.0;4.649000464900047e-05
