;CONSPRENAT;AC fri.;AL fri.;AP fri.;AM fri.;BA fri.;CE fri.;DF fri.;ES fri.;GO fri.;MA fri.;MT fri.;MS fri.;MG fri.;PA fri.;PB fri.;PR fri.;PE fri.;PI fri.;RN fri.;RS fri.;RJ fri.;RO fri.;RR fri.;SC fri.;SP fri.;SE fri.;TO fri.
0;0 a 2;0.03229237165232524;0.008686990363232023;0.04540845886442642;0.026489389649435185;0.007708242640767372;0.004802472229182327;0.009839367801249936;0.008954437713984725;0.008175123302479562;0.01552396625675448;0.007949185349444684;0.012103410731015623;0.004233308504092198;0.01958263951778602;0.006162136832239925;0.0048906516655078695;0.00666574447114969;0.0078679048358177;0.006725146198830409;0.006600800976884388;0.009564186667837364;0.006008375311039631;0.03400538883211;0.005447346135359685;0.005471917780721827;0.010179243195397212;0.006787540678754068
1;2 a 4;0.10760901092526347;0.05082468495181616;0.15867612977983778;0.10271753407863628;0.0408454298452347;0.02700520615830062;0.04307628738185011;0.04345535949433763;0.03906492804540234;0.079900480750541;0.04094864036983444;0.04841364292406249;0.022781214288688508;0.09501134449280867;0.032403936269915654;0.01996555211427849;0.03710684211436377;0.046217250515160437;0.03345029239766082;0.028452611714073456;0.03959886860375418;0.030770164471687806;0.12264238595187216;0.0261266622416516;0.025207756232686982;0.05129453418897986;0.038679683867968384
2;4 a 6;0.18746978632891811;0.12821997776130467;0.22696987253765932;0.18695817157535247;0.11220859540357567;0.07522481138116317;0.10371365115438252;0.10589331658596868;0.10315519221674212;0.18398102914307188;0.10858248924135079;0.10862684526371762;0.06902374816672295;0.18082050383180936;0.0837394564198688;0.051750837494469376;0.09341552400878392;0.12626113950812215;0.09888888888888889;0.07020929577224248;0.10025149107238052;0.09291740001213813;0.1980860354919632;0.07645739397129844;0.06651009675217792;0.1320646160655012;0.11622501162250116
3;6 a 8;0.26800734796480713;0.25227020014825796;0.26767091541135574;0.2625733383928311;0.24521518531305822;0.2058938166430023;0.2041991632663602;0.2218958286906667;0.23902439024390243;0.30681214445841054;0.21990866893428299;0.21099941761831212;0.19687891812364963;0.2790453098069002;0.2115979381443299;0.13910309082864547;0.2192692753272353;0.2816121176439104;0.24339181286549708;0.17148419821189168;0.20474258226768433;0.21781877769011349;0.26674718944532194;0.19637911698061386;0.16963547312216468;0.25828723168842666;0.24667596466759648
4;8 a 10;0.23793870250410906;0.28317272053372866;0.2161790266512167;0.23282932951925042;0.29868502034015343;0.29503883738411424;0.27847218635401066;0.2998723688742124;0.30397946084724004;0.2548625779113916;0.3022757596827843;0.25688096624718304;0.30925359599894514;0.22657824778709357;0.34154170571696346;0.24889387522912584;0.2859094288727889;0.324403885781572;0.2995614035087719;0.2873098960779458;0.2912530025274539;0.31110032166049645;0.2143454427204311;0.30471950745004694;0.28652896543418044;0.26001327727373313;0.301069270106927
5;10 a 12;0.12994295658899738;0.19308283914010377;0.06670046349942063;0.13179018652033042;0.2008946665265623;0.26740722180461596;0.23537007385982128;0.20850468993739998;0.1870819539220323;0.12420468828964248;0.21297427320391635;0.20859392803788013;0.2585556784166038;0.11862541750654865;0.2228912839737582;0.28257537450224385;0.23488319817405287;0.15767923568924452;0.2106140350877193;0.2561588974186001;0.23477099260578618;0.21199247435819626;0.10684753321564619;0.2462978645487629;0.2678590067846963;0.18176587740650588;0.19274755927475593
6;12 a 14;0.027651551774146767;0.055341919940696815;0.013253186558516802;0.040514901193846875;0.06421033670084213;0.07974887942314653;0.08610092453902174;0.07740929073560097;0.09211539760826971;0.025061227663241373;0.07545148741848796;0.10290431215658472;0.09167541858861956;0.06284751638378468;0.06801780693533271;0.13778364199481702;0.07982466757733474;0.03947333208445955;0.06859649122807017;0.11547559069910424;0.08773338183368977;0.08454208897250713;0.04134534980953266;0.0925705522876565;0.12227307398932113;0.07169727815888471;0.06466759646675965
7;14 a 16;0.0071545973121918205;0.019088213491475166;0.004128041714947856;0.012347120464695409;0.023807736763889097;0.03283777388011916;0.028795000258251123;0.026822795324243837;0.022444429430443887;0.008072980782936596;0.02439253565857967;0.03907021497480566;0.032145385231073874;0.012960961311871307;0.026663542642924087;0.06428955186144997;0.031193263361748484;0.014103353226108598;0.02976608187134503;0.04151758648073984;0.022954048002809677;0.03404746009589124;0.012728793087429155;0.034457897507495824;0.03973864868119956;0.02580216862137641;0.02412831241283124
8;16 a 18;0.0014502562119307744;0.0052353595255745;0.0006517960602549247;0.0022475845763157126;0.003917918849542909;0.00804588101005039;0.006714529208202056;0.0038694515913372906;0.001999864873995;0.0009459511992847054;0.004303459680905042;0.00741903628491125;0.008808982941848684;0.002561031423758192;0.003959700093720713;0.029122685038872383;0.007521657185344008;0.001793025931972061;0.005701754385964913;0.012603858010195803;0.004791500730641145;0.006858044546944225;0.0026015051565548637;0.010002059920807488;0.00890039744670601;0.00482407612303607;0.00599721059972106
9;18 a 20;0.00029005124238615487;0.002038547071905115;0.00028968713789107763;0.0008610875974196561;0.0013810288665055466;0.002575238731590523;0.0024533856722276743;0.0017827839792548773;0.0010404702384973988;0.0003628305969859144;0.0016725236314434442;0.0025574152381434684;0.003863183170401077;0.0012853845929128567;0.0018041237113402063;0.011582706529296504;0.002576383725554614;0.0004281852971873578;0.001608187134502924;0.005635871467973733;0.001969281713902251;0.002488317048006312;9.2910898448388e-05;0.004898033920029296;0.004177205026295716;0.002478424430183669;0.0015341701534170153
10;20 a 22;9.668374746205163e-05;0.0012740919199406967;7.242178447276941e-05;0.0002918941008202224;0.0006004473332632812;0.0010579359113561068;0.0008522287071948763;0.0010939810781791293;0.0016215120599959462;0.0002202900053128766;0.001334260425084096;0.0019497126072974959;0.0020541956019857225;0.0004576748171735172;0.0009606373008434864;0.006968586056507174;0.0011152802033441115;0.00016056948644525918;0.0007017543859649122;0.002664230148496674;0.0013170355411448174;0.0007889785761971233;0.000278732695345164;0.002037032798516857;0.002820265767393312;0.0011506970568709893;0.0014411901441190144
11;22 a 24;0.0;0.00027798369162342475;0.0;2.9189410082022242e-05;6.004473332632811e-05;0.0001531223029594365;0.0001291255616961934;0.00024310690626202873;2.7025200999932437e-05;3.88747068199194e-05;0.00015033920282637702;0.00030385131542298634;0.0004117644337313723;0.000136328668945303;0.00011715089034676664;0.0017618987421781176;0.00018155724240485535;0.0;5.847953216374269e-05;0.0010161647040740518;0.00025086391259901284;0.00036414395824482614;0.0;0.00040054015701174156;0.0006282869645509655;0.00013277273733126798;4.649000464900047e-05
12;24 a 26;0.0;0.00016215715344699777;0.0;1.4594705041011121e-05;6.004473332632811e-05;2.784041871989755e-05;0.0001291255616961934;0.00014181236198618344;0.00013512600499966218;1.29582356066398e-05;3.7584800706594254e-05;0.0001772466006634087;0.0002544611669126458;3.895104827008657e-05;7.029053420805998e-05;0.0008453953605966753;6.0519080801618456e-05;0.0;0.0;0.00039280316291938144;0.00010034556503960514;0.0;9.2910898448388e-05;0.00011444004486049758;0.00018266490023686219;0.0002212878955521133;0.0
13;26 a 28;0.0;9.266123054114158e-05;0.0;0.0;2.2516774997373042e-05;2.784041871989755e-05;0.0;4.051781771033812e-05;5.405040199986487e-05;0.0;0.0;0.0;5.0892233382529156e-05;1.9475524135043285e-05;0.0;0.00026863030149800897;3.458233188663912e-05;0.0;2.9239766081871346e-05;0.00015370558549019273;3.1357989074876605e-05;6.069065970747102e-05;0.0;6.866402691629855e-05;4.416074511220844e-05;4.425757911042266e-05;0.0
14;28 a 30;0.0;4.633061527057079e-05;0.0;0.0;7.505591665791014e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9475524135043285e-05;2.3430178069353328e-05;0.00013431515074900448;4.32279148582989e-05;0.0;0.0;9.393119113289555e-05;4.390118470482725e-05;0.0;0.0;2.2888008972099517e-05;8.029226384037898e-06;0.0;0.0
15;30 a 32;0.0;4.633061527057079e-05;0.0;2.9189410082022242e-05;7.505591665791014e-06;0.0;0.0;0.0;8.107560299979732e-05;0.0;1.8792400353297127e-05;0.0;0.0;9.737762067521643e-06;2.3430178069353328e-05;3.1603564882118704e-05;8.64558297165978e-06;0.0;5.847953216374269e-05;4.269599596949798e-05;7.525917377970385e-05;6.069065970747102e-05;0.0;0.0;1.0036532980047373e-05;4.425757911042266e-05;0.0
16;32 a 34;0.0;0.0;0.0;1.4594705041011121e-05;1.5011183331582028e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3430178069353328e-05;0.0;0.0;0.0;0.0;8.539199193899596e-06;1.8814793444925962e-05;0.0;0.0;0.0;2.0073065960094745e-06;0.0;0.0
17;34 a 36;0.0;0.0;0.0;0.0;7.505591665791014e-06;1.3920209359948774e-05;2.5825112339238675e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.539199193899596e-06;3.7629586889851924e-05;0.0;0.0;0.0;2.0073065960094745e-06;0.0;0.0
18;36 a 38;9.668374746205163e-05;0.0;0.0;4.3784115123033366e-05;7.505591665791015e-05;0.0001113616748795902;2.5825112339238675e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.900891220529676e-06;5.1873497829958676e-05;0.0;0.00014619883040935673;5.977439435729717e-05;9.407396722462982e-05;0.0;0.0;0.0;0.0;0.0;0.0
19;38 a 40;0.0;0.00013899184581171237;0.0;0.00021892057561516683;0.00019514538331056637;2.784041871989755e-05;0.0001033004493569547;2.025890885516906e-05;0.0;0.0;0.0;0.0;9.25313334227803e-06;0.0;0.0;1.5801782441059352e-05;9.510141268825757e-05;0.0;0.0004970760233918128;9.393119113289555e-05;0.0002947650973038401;0.00012138131941494204;0.0;0.0;0.0;0.0;0.0
20;40 a 42;0.0;0.0;0.0;2.9189410082022242e-05;7.505591665791015e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.900891220529676e-06;4.32279148582989e-05;0.0;0.00020467836257309941;1.707839838779919e-05;0.00010661716285458046;6.069065970747102e-05;0.000185821796896776;0.0;0.0;0.0;0.0
